unique_key,created_date,closed_date,agency,complaint_type,descriptor,status,resolution_description,incident_zip,city,borough,latitude,longitude
52051038,2021-10-02T05:07:51Z,2021-10-02T08:32:02Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11217,BROOKLYN,BROOKLYN,40.68771422709301,-73.97831479360826
52051039,2021-10-02T05:36:29Z,2021-10-02T09:11:40Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10039,NEW YORK,MANHATTAN,40.824670800810715,-73.93839117015672
52051040,2021-10-02T05:49:27Z,2021-10-02T07:19:27Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11224,BROOKLYN,BROOKLYN,40.57789329107644,-73.98285747295759
52051041,2021-10-02T05:28:03Z,2021-10-02T07:47:25Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,10466,NA,BRONX,40.8849195371215,-73.84882007080222
52051051,2021-10-02T05:27:24Z,2021-10-02T08:04:19Z,NYPD,noise - vehicle,Engine Idling,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11105,ASTORIA,QUEENS,40.782153670073264,-73.91477187376108
52051083,2021-10-02T05:13:30Z,2021-10-02T06:12:17Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department issued a summons in response to the complaint.,11429,QUEENS VILLAGE,QUEENS,40.704143377778166,-73.73983563901022
52051084,2021-10-02T05:05:39Z,2021-10-02T07:45:02Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department responded to the complaint and took action to fix the condition.,11370,EAST ELMHURST,QUEENS,40.75750991435137,-73.88747536600178
52051085,2021-10-02T04:46:18Z,2021-10-02T06:31:56Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11208,NA,BROOKLYN,40.686281599851114,-73.8802723603392
52051086,2021-10-02T05:38:32Z,2021-10-02T06:45:42Z,NYPD,illegal parking,Commercial Overnight Parking,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,10461,BRONX,BRONX,40.84487420182335,-73.82721436265656
52051087,2021-10-02T05:05:05Z,2021-10-02T06:05:55Z,NYPD,illegal parking,Double Parked Blocking Vehicle,Closed,The Police Department issued a summons in response to the complaint.,10468,BRONX,BRONX,40.86110826317329,-73.90766806793525
52051104,2021-10-02T04:51:37Z,2021-10-02T07:07:15Z,NYPD,noise - commercial,Loud Talking,Closed,The Police Department responded to the complaint and took action to fix the condition.,11106,ASTORIA,QUEENS,40.76275768404637,-73.920124834447
52051107,2021-10-02T05:28:19Z,2021-10-02T07:51:56Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department issued a summons in response to the complaint.,11372,JACKSON HEIGHTS,QUEENS,40.75146590171314,-73.89315930231326
